hash,count
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,4
27,1
28,1
29,1
30,1
31,0
32,1
33,2
34,0
35,1
36,0
37,2
38,3
39,1
40,2
41,0
42,0
43,0
44,1
45,2
46,2
47,0
48,1
49,1
50,1
51,0
52,0
53,2
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,2
84,0
85,1
86,1
87,0
88,3
89,1
90,1
91,2
92,0
93,0
94,0
95,1
96,0
97,3
98,3
99,4
100,2
101,1
102,0
103,3
104,1
105,3
106,0
107,1
108,3
109,1
110,1
111,1
112,2
113,1
114,1
115,1
116,2
117,1
118,0
119,2
120,2
121,2
122,3
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,2
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,2
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,2
156,1
157,1
158,2
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,3
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,2
182,1
183,3
184,0
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,2
194,0
195,1
196,0
197,1
198,0
199,2
200,1
201,1
202,0
203,2
204,1
205,1
206,1
207,2
208,0
209,1
210,2
211,0
212,1
213,2
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,3
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,2
251,0
252,0
253,0
254,0
255,2
256,0
257,0
258,0
259,2
260,1
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,2
288,0
289,0
290,1
291,0
292,0
293,2
294,1
295,2
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,2
304,0
305,0
306,2
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,1
315,0
316,0
317,0
318,0
319,2
320,0
321,3
322,3
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,1
332,3
333,2
334,0
335,1
336,1
337,0
338,0
339,1
340,1
341,0
342,0
343,1
344,2
345,0
346,0
347,0
348,1
349,1
350,1
351,2
352,0
353,0
354,1
355,2
356,1
357,0
358,1
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,3
367,0
368,0
369,1
370,0
371,2
372,0
373,3
374,0
375,0
376,2
377,0
378,0
379,0
380,2
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,1
405,2
406,0
407,1
408,2
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,2
418,0
419,0
420,2
421,1
422,2
423,0
424,1
425,0
426,2
427,0
428,2
429,1
430,0
431,1
432,0
433,1
434,0
435,0
436,0
437,0
438,0
439,2
440,0
441,2
442,0
443,0
444,3
445,2
446,0
447,2
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,2
462,0
463,2
464,0
465,0
466,1
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,1
475,0
476,1
477,0
478,0
479,0
480,0
481,2
482,0
483,0
484,1
485,0
486,0
487,1
488,4
489,1
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,2
499,1
500,0
501,2
502,0
503,1
504,1
505,2
506,1
507,0
508,1
509,2
510,2
511,1
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,2
520,0
521,0
522,0
523,1
524,2
525,1
526,0
527,1
528,0
529,0
530,0
531,1
532,1
