hash,count
2525,1
115,1
3635258,1
97,1
4005808,1
4286735,1
-1304160045,1
-1226235431,1
2611598,1
129867,1
3581,1
3580,1
3906,1
3703202,1
73,1
3672,1
134212896,1
-1497766054,1
3243218,1
141422366,1
3765,1
129857,1
3774905,1
74515,1
3810719,1
2745796,1
4145878,1
4242086,1
3810842,1
4285265,1
3995,1
-366368463,1
219897279,1
4221369,1
3711413,1
109363,1
141961052,1
-1893962467,1
116,1
3847076,1
121061,1
135549,1
3575,1
-1191797079,1
-399483585,1
111122,1
4246186,1
3939,1
115616,1
3618802,1
-281629196,1
3963276,1
4134152,1
102718152,1
60535497,1
4026167,1
128555,1
-284890947,1
3968501,1
145244683,1
100701,1
3861991,1
3773,1
129897,1
121412150,1
4473231,1
3764854,1
114855,1
3826153,1
4393202,1
96263424,1
