hash,count
89000230,1
-1028200162,1
109363,1
129857,1
955067469,1
115,1
102724745,1
2267,1
-1263701573,1
-1279623742,1
-768157337,1
88674,1
93921,1
74570,1
97198,1
92849396,1
2655,1
87730,1
-1951168824,1
3765,1
152705993,1
3790428,1
-1025035526,1
84857786,1
4390355,1
137044810,1
3939,1
128557,1
4285265,1
4285402,1
1763941262,1
145781993,1
141413654,1
135549,1
4354438,1
4047917,1
3135418,1
3990740,1
212089381,1
100,1
-195843767,1
3335,1
366805415,1
3575,1
-1155143838,1
-1421496460,1
3777,1
-1104492156,1
1788540152,1
3940646,1
3711455,1
116,1
3861991,1
4394780,1
4263539,1
-306475799,1
132907,1
-308143268,1
97,1
3783790,1
-301526811,1
-1161078341,1
144979763,1
4026167,1
-242338326,1
2477,1
110290,1
119963371,1
122012,1
-105642684,1
109384,1
4066433,1
347243900,1
3533,1
112465,1
3847076,1
131693003,1
-619665798,1
4285523,1
-327507116,1
116557,1
133317675,1
141961052,1
143016234,1
-365448620,1
3667094,1
423999284,1
3316,1
128768,1
140519594,1
3906,1
116703,1
4286735,1
-708116958,1
4120956,1
-144778319,1
-179314860,1
342892506,1
3773,1
-840341503,1
95009,1
35938363,1
140407353,1
129008,1
-1491293049,1
141417852,1
1835813404,1
141418136,1
3741,1
124860564,1
110506,1
-1151590301,1
-375552411,1
481261635,1
110699,1
3607407,1
329066278,1
1218534847,1
3778878,1
-2018471198,1
145244683,1
-270946625,1
3581,1
141422366,1
121526263,1
3635130,1
3567,1
-363909878,1
125084092,1
124856,1
118681019,1
429133137,1
334387130,1
3846491,1
122150,1
114855,1
-2003635758,1
147235588,1
3774590,1
-1602989797,1
3826153,1
518039511,1
1592568389,1
-909324561,1
-773128351,1
1838270712,1
4393076,1
1023909229,1
347379991,1
3968501,1
130098,1
134212896,1
3761582,1
4246187,1
116830,1
3135544,1
864189969,1
289860424,1
529747651,1
3618802,1
4385882,1
99742764,1
121261636,1
3999173,1
3243218,1
4401014,1
3973,1
3724785,1
3828979,1
1517023679,1
124854,1
140674369,1
346783713,1
-288364080,1
128887,1
2044714813,1
-1395199966,1
371970765,1
4257407,1
-1851935142,1
109305,1
-801792588,1
-82094400,1
216396144,1
116836,1
4041923,1
-323846655,1
129890,1
4401251,1
-2087010786,1
806814551,1
235176138,1
-344127655,1
3897114,1
3855296,1
121252839,1
2927696,1
4285390,1
518068614,1
141186067,1
124914,1
-1339546970,1
4134488,1
490731928,1
2261,1
3846747,1
123667121,1
1386068484,1
211652460,1
121257056,1
141781432,1
3963514,1
110816,1
99573669,1
123572,1
-105493443,1
-877657013,1
1703209554,1
-296575252,1
3317,1
144731779,1
-1191857042,1
4304093,1
-1369768587,1
3994667,1
127456100,1
115946,1
111126,1
-340986726,1
122807258,1
2525,1
-284706103,1
124865384,1
4250609,1
2131027406,1
-1426585515,1
111128,1
974913914,1
122014,1
80007,1
329063292,1
975201804,1
4285391,1
-22620843,1
3850738,1
-359519031,1
4005845,1
118845056,1
103468664,1
141162802,1
-314984424,1
4386041,1
140270015,1
3243092,1
3635258,1
1349373852,1
4048457,1
141781373,1
131968568,1
2070059257,1
346783203,1
3630833,1
2260,1
122813792,1
4220998,1
-1291727232,1
99536987,1
4241953,1
-2070718221,1
3667339,1
-284600507,1
4210108,1
4026577,1
140270212,1
3811139,1
1116443368,1
60475534,1
140227628,1
125945,1
4035208,1
380761521,1
4293608,1
-602499805,1
-196310519,1
135846396,1
-89106171,1
115616,1
112222,1
75851,1
3742037,1
-242327672,1
3355,1
3751145,1
128552,1
-775584678,1
-228288897,1
118744,1
3851113,1
-83600133,1
329132691,1
121391,1
-1821414695,1
588284970,1
-1040243195,1
-288385635,1
133134,1
125292112,1
-926112174,1
-139943880,1
128555,1
147616594,1
1566292179,1
4285528,1
4257332,1
347499897,1
123242,1
-1772851032,1
607037550,1
-1465737682,1
-168613023,1
144975477,1
3764854,1
3779235,1
-82427402,1
141418169,1
-1147695747,1
138331976,1
121412150,1
-1148798080,1
1981004811,1
1711093026,1
1737968406,1
128669,1
-284595896,1
144881825,1
133144,1
135630774,1
4285259,1
-1157177715,1
3311,1
1684020666,1
126360113,1
121411562,1
134209088,1
347397340,1
-1370681445,1
140275597,1
140680766,1
1804134508,1
708606500,1
135217,1
133386331,1
114530,1
-1014877467,1
131695128,1
-1744151380,1
-366368463,1
173808556,1
134348417,1
124969794,1
2511,1
133154489,1
-105642922,1
639737302,1
4122277,1
140782072,1
118078,1
120441256,1
-1767501994,1
372193999,1
3718616,1
-1206809677,1
125772043,1
-483183000,1
118829682,1
4258156,1
-540671634,1
2891939,1
-399223479,1
1362630112,1
3793154,1
564195519,1
3783914,1
144884759,1
399073310,1
1806467268,1
121013359,1
-1893953732,1
110303,1
4041875,1
4041775,1
142835724,1
547759593,1
4393202,1
-1421346307,1
3994699,1
4385807,1
-377206389,1
110704,1
110693,1
3793492,1
-340705314,1
434958712,1
207492480,1
126371533,1
4067135,1
119826117,1
3764839,1
854632054,1
3968831,1
418064181,1
120548048,1
334193506,1
129899,1
132913,1
-65798655,1
-1029318674,1
110026,1
-301208708,1
145241167,1
325103691,1
139084094,1
73,1
127074916,1
-1424513057,1
3706990,1
2628894,1
-1346859619,1
67401342,1
-1148802292,1
-335622298,1
-262144215,1
1591965875,1
-1675928309,1
1609976114,1
123569,1
252707869,1
329290596,1
-366712784,1
-1121839542,1
231060600,1
3862025,1
-1099473366,1
-2108113739,1
-1420996676,1
119967973,1
930839181,1
4062401,1
4264031,1
4006018,1
2532356,1
133845607,1
-1357955889,1
2721,1
-1357963302,1
136930250,1
1163490433,1
142906385,1
-1171466630,1
120210785,1
4242086,1
141429059,1
447435788,1
-1671830034,1
111,1
121411628,1
140667624,1
-745663428,1
481179960,1
335077606,1
-1622957962,1
3718356,1
102548479,1
186517721,1
4286788,1
124543,1
466468608,1
-2025813137,1
-336130445,1
2116888560,1
451640851,1
4246186,1
893360095,1
-124706673,1
2717,1
-956274350,1
3774575,1
140527052,1
4394249,1
140416058,1
-1535215133,1
144045398,1
594659612,1
140659103,1
77825,1
140497951,1
3718,1
3707004,1
128814,1
3698,1
141668065,1
-1686287199,1
100701,1
2818847,1
98286,1
116572,1
3826121,1
2611598,1
1068631924,1
618216601,1
333058767,1
240258816,1
126947458,1
74515,1
-82316556,1
99018511,1
124347,1
140674249,1
302223501,1
4258502,1
-1000364647,1
335257190,1
-1138971935,1
49514534,1
841482800,1
128684,1
-2117040397,1
127450192,1
943582973,1
931179824,1
230951718,1
-1901816629,1
141422362,1
-1726981342,1
-1580906525,1
-1848936350,1
4385808,1
124610,1
-728730628,1
118288,1
3099801,1
67609593,1
4042007,1
140663468,1
98059,1
-912014672,1
989636728,1
-867932835,1
4156029,1
121061,1
128167969,1
4394315,1
4070783,1
93920,1
4293235,1
-252829984,1
2917151,1
2568372,1
-1370282844,1
-1929995052,1
117038,1
1816548955,1
4401244,1
98516,1
109016,1
-157195890,1
110155,1
4390238,1
60535497,1
4221469,1
121021763,1
290395228,1
2036104236,1
4067101,1
-1465945873,1
3640033,1
322674881,1
-371998874,1
-1587173179,1
129247081,1
-912014716,1
71589938,1
-1938298532,1
3868607,1
134340410,1
109496,1
3761586,1
822445405,1
782014128,1
120121204,1
-170611287,1
124132459,1
-1578799775,1
140277458,1
-1386498871,1
-545162613,1
417921271,1
2127339409,1
1082071848,1
-1910494057,1
-1741460322,1
112278143,1
782198056,1
3829232,1
84160,1
-2102416273,1
-1157107216,1
88307476,1
-1893897749,1
-330169219,1
3240180,1
94909,1
911460492,1
112673,1
4112482,1
-377141226,1
135343516,1
-664487003,1
114393,1
119168792,1
2809010,1
959543104,1
-1490942411,1
-1473653581,1
4282353,1
-1684227896,1
4206026,1
-1357330557,1
-282198438,1
3995,1
-942457858,1
1916925547,1
140659117,1
34971699,1
-479163547,1
96390938,1
123391741,1
4389932,1
125074207,1
111122,1
-1082335425,1
133040,1
-163836908,1
-774033497,1
-368616885,1
-367192855,1
2972293,1
1020831076,1
136813349,1
-1030240894,1
-1702526881,1
130362,1
3688987,1
129754,1
-938643312,1
372295090,1
-1506012361,1
2391,1
37824630,1
126953618,1
4473231,1
50971851,1
1474505970,1
-1894610399,1
119103457,1
80880210,1
2685,1
-1910668541,1
98296,1
87342640,1
140680488,1
-547130202,1
